fecha,recesion
1980/01,0
1980/02,0
1980/03,0
1980/04,0
1980/05,0
1980/06,0
1980/07,0
1980/08,0
1980/09,0
1980/10,0
1980/11,0
1980/12,0
1981/01,0
1981/02,0
1981/03,0
1981/04,0
1981/05,0
1981/06,0
1981/07,0
1981/08,0
1981/09,0
1981/10,0
1981/11,0
1981/12,1
1982/01,1
1982/02,1
1982/03,1
1982/04,1
1982/05,1
1982/06,1
1982/07,1
1982/08,1
1982/09,1
1982/10,1
1982/11,1
1982/12,1
1983/01,1
1983/02,1
1983/03,1
1983/04,1
1983/05,1
1983/06,1
1983/07,0
1983/08,0
1983/09,0
1983/10,0
1983/11,0
1983/12,0
1984/01,0
1984/02,0
1984/03,0
1984/04,0
1984/05,0
1984/06,0
1984/07,0
1984/08,0
1984/09,0
1984/10,0
1984/11,0
1984/12,0
1985/01,0
1985/02,0
1985/03,0
1985/04,0
1985/05,0
1985/06,0
1985/07,0
1985/08,0
1985/09,0
1985/10,1
1985/11,1
1985/12,1
1986/01,1
1986/02,1
1986/03,1
1986/04,1
1986/05,1
1986/06,1
1986/07,1
1986/08,1
1986/09,1
1986/10,1
1986/11,1
1986/12,1
1987/01,0
1987/02,0
1987/03,0
1987/04,0
1987/05,0
1987/06,0
1987/07,0
1987/08,0
1987/09,0
1987/10,0
1987/11,0
1987/12,0
1988/01,0
1988/02,0
1988/03,0
1988/04,0
1988/05,0
1988/06,0
1988/07,0
1988/08,0
1988/09,0
1988/10,0
1988/11,0
1988/12,0
1989/01,0
1989/02,0
1989/03,0
1989/04,0
1989/05,0
1989/06,0
1989/07,0
1989/08,0
1989/09,0
1989/10,0
1989/11,0
1989/12,0
1990/01,0
1990/02,0
1990/03,0
1990/04,0
1990/05,0
1990/06,0
1990/07,0
1990/08,0
1990/09,0
1990/10,0
1990/11,0
1990/12,0
1991/01,0
1991/02,0
1991/03,0
1991/04,0
1991/05,0
1991/06,0
1991/07,0
1991/08,0
1991/09,0
1991/10,0
1991/11,0
1991/12,0
1992/01,0
1992/02,0
1992/03,0
1992/04,0
1992/05,0
1992/06,0
1992/07,0
1992/08,0
1992/09,0
1992/10,0
1992/11,0
1992/12,0
1993/01,0
1993/02,0
1993/03,0
1993/04,0
1993/05,0
1993/06,0
1993/07,0
1993/08,0
1993/09,0
1993/10,0
1993/11,0
1993/12,0
1994/01,0
1994/02,0
1994/03,0
1994/04,0
1994/05,0
1994/06,0
1994/07,0
1994/08,0
1994/09,0
1994/10,0
1994/11,0
1994/12,1
1995/01,1
1995/02,1
1995/03,1
1995/04,1
1995/05,1
1995/06,0
1995/07,0
1995/08,0
1995/09,0
1995/10,0
1995/11,0
1995/12,0
1996/01,0
1996/02,0
1996/03,0
1996/04,0
1996/05,0
1996/06,0
1996/07,0
1996/08,0
1996/09,0
1996/10,0
1996/11,0
1996/12,0
1997/01,0
1997/02,0
1997/03,0
1997/04,0
1997/05,0
1997/06,0
1997/07,0
1997/08,0
1997/09,0
1997/10,0
1997/11,0
1997/12,0
1998/01,0
1998/02,0
1998/03,0
1998/04,0
1998/05,0
1998/06,0
1998/07,0
1998/08,0
1998/09,0
1998/10,0
1998/11,0
1998/12,0
1999/01,0
1999/02,0
1999/03,0
1999/04,0
1999/05,0
1999/06,0
1999/07,0
1999/08,0
1999/09,0
1999/10,0
1999/11,0
1999/12,0
2000/01,0
2000/02,0
2000/03,0
2000/04,0
2000/05,0
2000/06,0
2000/07,0
2000/08,0
2000/09,0
2000/10,1
2000/11,1
2000/12,1
2001/01,1
2001/02,1
2001/03,1
2001/04,1
2001/05,1
2001/06,1
2001/07,1
2001/08,1
2001/09,1
2001/10,1
2001/11,1
2001/12,1
2002/01,1
2002/02,0
2002/03,0
2002/04,0
2002/05,0
2002/06,0
2002/07,0
2002/08,0
2002/09,0
2002/10,0
2002/11,0
2002/12,0
2003/01,0
2003/02,0
2003/03,0
2003/04,0
2003/05,0
2003/06,0
2003/07,0
2003/08,0
2003/09,0
2003/10,0
2003/11,0
2003/12,0
2004/01,0
2004/02,0
2004/03,0
2004/04,0
2004/05,0
2004/06,0
2004/07,0
2004/08,0
2004/09,0
2004/10,0
2004/11,0
2004/12,0
2005/01,0
2005/02,0
2005/03,0
2005/04,0
2005/05,0
2005/06,0
2005/07,0
2005/08,0
2005/09,0
2005/10,0
2005/11,0
2005/12,0
2006/01,0
2006/02,0
2006/03,0
2006/04,0
2006/05,0
2006/06,0
2006/07,0
2006/08,0
2006/09,0
2006/10,0
2006/11,0
2006/12,0
2007/01,0
2007/02,0
2007/03,0
2007/04,0
2007/05,0
2007/06,0
2007/07,0
2007/08,0
2007/09,0
2007/10,0
2007/11,0
2007/12,0
2008/01,0
2008/02,0
2008/03,0
2008/04,0
2008/05,0
2008/06,0
2008/07,1
2008/08,1
2008/09,1
2008/10,1
2008/11,1
2008/12,1
2009/01,1
2009/02,1
2009/03,1
2009/04,1
2009/05,1
2009/06,0
2009/07,0
2009/08,0
2009/09,0
2009/10,0
2009/11,0
2009/12,0
2010/01,0
2010/02,0
2010/03,0
2010/04,0
2010/05,0
2010/06,0
2010/07,0
2010/08,0
2010/09,0
2010/10,0
2010/11,0
2010/12,0
2011/01,0
2011/02,0
2011/03,0
2011/04,0
2011/05,0
2011/06,0
2011/07,0
2011/08,0
2011/09,0
2011/10,0
2011/11,0
2011/12,0
2012/01,0
2012/02,0
2012/03,0
2012/04,0
2012/05,0
2012/06,0
2012/07,0
2012/08,0
2012/09,0
2012/10,0
2012/11,0
2012/12,0
2013/01,0
2013/02,0
2013/03,0
2013/04,0
2013/05,0
2013/06,0
2013/07,0
2013/08,0
2013/09,0
2013/10,0
2013/11,0
2013/12,0
2014/01,0
2014/02,0
2014/03,0
2014/04,0
2014/05,0
2014/06,0
2014/07,0
2014/08,0
2014/09,0
2014/10,0
2014/11,0
2014/12,0
2015/01,0
2015/02,0
2015/03,0
2015/04,0
2015/05,0
2015/06,0
2015/07,0
2015/08,0
2015/09,0
2015/10,0
2015/11,0
2015/12,0
2016/01,0
2016/02,0
2016/03,0
2016/04,0
2016/05,0
2016/06,0
2016/07,0
2016/08,0
2016/09,0
2016/10,0
2016/11,0
2016/12,0
2017/01,0
2017/02,0
2017/03,0
2017/04,0
2017/05,0
2017/06,0
2017/07,0
2017/08,0
2017/09,0
2017/10,0
2017/11,0
2017/12,0
2018/01,0
2018/02,0
2018/03,0
2018/04,0
2018/05,0
2018/06,0
2018/07,0
2018/08,0
2018/09,0
2018/10,0
2018/11,0
2018/12,0
2019/01,0
2019/02,0
2019/03,0
2019/04,0
2019/05,0
2019/06,1
2019/07,1
2019/08,1
2019/09,1
2019/10,1
2019/11,1
2019/12,1
2020/01,1
2020/02,1
2020/03,1
2020/04,1
2020/05,1
2020/06,0
2020/07,0
2020/08,0
2020/09,0
2020/10,0
2020/11,0
2020/12,0
2021/01,0
2021/02,0
2021/03,0
2021/04,0
2021/05,0
2021/06,0
2021/07,0
